Id, name, nation, day of birth, points, category, weight, gender
1, SAMATULY Nurperzent, Kazakhstan, 11-11-1111, 29, cadetes, -33, male
2, BUDAGLI Mehdi, Azerbaijan, 11-11-1111, 28.75, cadetes, -33, male
3, DEDEGBE Nelson, France, 11-11-1111, 17.13, cadetes, -33, male
4, MARUFJONOV Dilmurod, Uzbekistan, 11-11-1111, 16.5, cadetes, -33, male
5, CRAVCENCO Maxim, Moldova, 11-11-1111, 16.38, cadetes, -33, male
6, SENESI Diego, Italy, 11-11-1111, 16, cadetes, -33, male
7, CARVALHO Fabio, United Kingdom of Great Britai, 11-11-1111, 15.25, cadetes, -33, male
8, MAYO James, United States of America, 11-11-1111, 14, cadetes, -33, male
9, CHAIYOTHA Nitipoom, Thailand, 11-11-1111, 11.75, cadetes, -33, male
10, MANULAT Anthony, United States of America, 11-11-1111, 11.25, cadetes, -33, male
11, HATAMLI Ilyas, Azerbaijan, 11-11-1111, 11.13, cadetes, -33, male
12, VIDELA MIGUENS Victor, Spain, 11-11-1111, 11.06, cadetes, -33, male
13, PREUVENEERS Liam, Belgium, 11-11-1111, 10, cadetes, -33, male
14, AULAQI Yosef Darid, Denmark, 06-05-2010, 10, cadetes, -33, male
15, SANCHEZ JEREZ Alejandro, Spain, 11-11-1111, 10, cadetes, -33, male
16, EKINCI Tugra, Turkey, 11-11-1111, 9.75, cadetes, -33, male
17, SPARRE Nicolai Yuma, Germany, 02-06-2009, 9.63, cadetes, -33, male
18, ORTIZ PADILLA Ricky Yadier, Puerto Rico, 11-11-1111, 9.5, cadetes, -33, male
19, KIS Nikola, Serbia, 11-11-1111, 9.38, cadetes, -33, male
20, HAIM Yonatan, Israel, 11-11-1111, 9, cadetes, -33, male
21, PEREIRA MACHADO Miguel, Germany, 11-11-1111, 9, cadetes, -33, male
22, KAWAI Riato, Japan, 11-11-1111, 8.75, cadetes, -33, male
23, STEFANOV Marko, Serbia, 11-11-1111, 8.25, cadetes, -33, male
24, PARK Jeonghun, Korea, 11-11-1111, 8.25, cadetes, -33, male
25, MANENKOV Maksym, Ukraine, 13-03-2006, 8.1, cadetes, -33, male
26, ZAREFSKY Keegan, United States of America, 11-11-1111, 7.88, cadetes, -33, male
27, PANTOS Evaggelos, Greece, 11-11-1111, 7.75, cadetes, -33, male
28, DIAZ Emmanuel, United States of America, 11-11-1111, 7.75, cadetes, -33, male
29, MARWAN Yahya, Sweden, 11-11-1111, 7.63, cadetes, -33, male
30, LEPE Joshua, United States of America, 11-11-1111, 7, cadetes, -33, male
31, ABDOLLAHI Nima, Iraq, 11-11-1111, 7, cadetes, -33, male
32, MAGOMEDOV Kurbanmagomed, Russian Federation, 11-11-1111, 6.94, cadetes, -33, male
33, BEZJAK Viljem, Hrvatska, 11-11-1111, 6.13, cadetes, -33, male
34, LOPES dos SANTOS Paulo Eduardo, Brazil, 11-11-1111, 6, cadetes, -33, male
35, ALSHAHRANI Khalid Abdullah, Saudi Arabia, 11-11-1111, 6, cadetes, -33, male
36, PAPACHARALAMPOUS Nikolaos, Greece, 11-11-1111, 6, cadetes, -33, male
37, GHANBARZADEH Amirabbas, Iran, 11-11-1111, 5.75, cadetes, -33, male
38, GAVAS Levi, Canada, 11-11-1111, 5.75, cadetes, -33, male
39, AHMED IBRAHIM AHMED Sliem, Egypt, 11-11-1111, 5.5, cadetes, -33, male
40, ALSWAITTI Noor, Palestinian Territory, 11-11-1111, 5.5, cadetes, -33, male
41, KAPUSTA Mykhailo, Ukraine, 28-03-2009, 5.25, cadetes, -33, male
42, JLIDA Mohamed Oussama, Tunisia, 11-11-1111, 5.25, cadetes, -33, male
43, RODRIGUEZ VAZQUEZ Emilio, Mexico, 11-11-1111, 5.25, cadetes, -33, male
44, TSAGKOURNOS Konstantinos, Greece, 11-11-1111, 5.13, cadetes, -33, male
45, DREWS Jonasz, Poland, 11-11-1111, 5.13, cadetes, -33, male
46, BERNARDINO Rukuroa, French Polynesia, 11-11-1111, 5, cadetes, -33, male
47, LEPAPE XARAU Andreas Sandro, Spain, 11-11-1111, 4.69, cadetes, -33, male
48, NGUYEN Huynh Phi Long, Viet Nam, 11-11-1111, 4.5, cadetes, -33, male
49, CAMPANA ROCHA Francisco Efrain, Mexico, 11-11-1111, 4.5, cadetes, -33, male
50, YENER Mucahit, Turkey, 11-11-1111, 4.5, cadetes, -33, male
51, PAROSKI Dorde, Serbia, 11-11-1111, 4.25, cadetes, -33, male
52, GILLIS Zach, Canada, 11-11-1111, 4, cadetes, -33, male
53, NIKOLIC MALORA Lucijan, Hrvatska, 11-11-1111, 4, cadetes, -33, male
54, CHARALAMBOUS Iasonas, Cyprus, 11-11-1111, 4, cadetes, -33, male
55, NGUYEN Thanh Phat, Viet Nam, 11-11-1111, 4, cadetes, -33, male
56, RAWAL Laksh, India, 11-11-1111, 4, cadetes, -33, male
57, GURABANIDZE Aleksandre, Georgia, 11-11-1111, 4, cadetes, -33, male
58, DIMITROV Simeon, Bulgaria, 11-11-1111, 3.88, cadetes, -33, male
59, DEVERNAY Maroje, Hrvatska, 11-11-1111, 3.81, cadetes, -33, male
60, CUTRONE Francesco, Italy, 11-11-1111, 3.75, cadetes, -33, male
61, SENGONUL Mert, Turkey, 11-11-1111, 3.75, cadetes, -33, male
62, PRAGANO Lorenzo, United States of America, 11-11-1111, 3.5, cadetes, -33, male
63, EOM Juho, Korea, 11-11-1111, 3.5, cadetes, -33, male
64, HUANG Hao-Wei, Taiwan, 11-11-1111, 3.5, cadetes, -33, male
65, KHALED ALDHANHANI Mohamed, United Arab Emirates, 11-11-1111, 3.5, cadetes, -33, male
66, SHERI Adilet, Kazakhstan, 11-11-1111, 3.5, cadetes, -33, male
67, TOVMASYAN Davit, Armenia, 11-11-1111, 3.5, cadetes, -33, male
68, JAVKHLANTUGS Jargalan, Mongolia, 11-11-1111, 3.5, cadetes, -33, male
69, ORBEA GRACIA Pedro Felipe, Ecuador, 11-11-1111, 3.5, cadetes, -33, male
70, SEVAGIAN Nicolo, Italy, 11-11-1111, 3.5, cadetes, -33, male
71, MAHMOUD Taha, Egypt, 11-11-1111, 3.5, cadetes, -33, male
72, ERSAN Osman Nuri Esad, Turkey, 11-11-1111, 3.5, cadetes, -33, male
73, ANVAR-ALIEV Yussuf, Kazakhstan, 11-11-1111, 3.5, cadetes, -33, male
74, PANYUSHKIN Ernesto, Dominican Republic, 11-11-1111, 3.5, cadetes, -33, male
75, MAKHNEVYCH Marko, Canada, 11-11-1111, 3.5, cadetes, -33, male
