Id_coach, gender, name, country, birthday, points
1, male, SAHIN Ali, Turkey, 02-06-1967,13590
2, male, FARGAS Ireno, Spain, 03-11-1961,12821
3, female, BENITEZ MORALES Elena, Spain, 26-10-1966,6808.5
4, male, MARQUEZ SANCHEZ Jose Jesus, Spain, 19-05-1973,6190
5, male, SOLIS Juan, Spain, 11-11-1111,5923
6, male, MEIJER Henk, Netherlands, 22-07-1959,5637
7,, KO Tae-Jeong, Korea, 11-11-1111,4725
8, male, STREIF Georg, Germany, 21-12-1961,4723
9, male, MARTIN Francisco, Spain, 11-11-1111,4588
10,, ZOLGHADRI Gholam Hassan, Iran, 27-08-1960,4580
11, male, CARREIRA CORREDOIRA Marcos, Spain, 28-10-1974,4326
12, male, WUNDERLICH Holger, Germany, 24-04-1974,4101
13,, KARIMI Morteza, Iran, 11-11-1111,3963
14, male, SCHEITERBAUER Marco, Germany, 11-03-1974,3811.5
15,, LEE Kyu-Hong, Spain, 11-11-1111,3551
16,, PARK Soo-Nam, Korea, 11-11-1111,3510
17,, BANG Young-In, Mexico, 14-07-1973,3269
18,, IVANOV Vadim, Russian Federation, 14-01-1970,3248
19,, CHOI Young-Seok, Korea, 30-04-1974,3206
20, male, MOGHANLOO Bijan, Iran, 21-10-1969,3099
21, male, KHAIRY Amr, Egypt, 16-02-1966,3034
22, male, KOHLOFFEL Markus, Germany, 25-01-1971,2873.8
23, male, MORENO Juan Miguel, United States of America, 01-04-1971,2843
24,, KIM Sae-Hyok, Korea, 11-11-1111,2789
25, male, MEHMANDOOST Reza, Iran, 31-01-1966,2624.5
26, male, MEHMANDOOST Reza, Iran, 31-01-1966,2619.5
27, male, CAMACHO Miguel, Dominican Republic, 14-07-1966,2605
28, male, LOPEZ Jean, United States of America, 31-08-1973,2588.3
29, male, SAENZ MILLER Nelson, Cuba, 18-11-1965,2582
30,, PARK Young-Ghil, Korea, 24-07-1941,2423
31, male, SHALABY Mahmoud, Egypt, 15-01-1973,2322
32,, ZAVAR Mohammad Reza, Iran, 11-11-1111,2290
33, male, JOHANSEN Bjarne, Denmark, 24-11-1963,2257
34, male, ESTEVES Carlos, Germany, 16-06-1960,2245
35,, FONG Edward, Canada, 04-11-1980,2154
36,, SHIN In-Shik, Korea, 11-11-1111,2151
37, male, WAGNER Josef, Germany, 17-06-1951,1979
38, male, YOON Soon-Cheul, Korea, 19-07-1967,1951.8
39, male, EL-EMARY Farag, Egypt, 03-02-1962,1947
40,, ALCAZAR CORONA Rafael, Spain, 11-11-1111,1849.3
41,, HERRANZ MARTIN Miguel Angel, Spain, 02-04-1964,1811.8
42, male, SALAZAR BLANCO Oscar, Mexico, 03-11-1977,1762
43, male, NOLANO Claudio, Italy, 22-09-1975,1670
44, male, KARRENBERG Georg, Germany, 11-07-1946,1599
45, male, LEE Dae-Sung, United States of America, 06-08-1959,1588.3
46, male, DAVIDOV Adi, Israel, 27-07-1975,1528
47,, KO Eui-Min, Korea, 11-11-1111,1479
48, male, PEZZOLLA Marcello, Italy, 31-10-1965,1472
49, male, ACHARKI Aziz, Germany, 27-03-1972,1440
50,, CHONG Ki-Young, Korea, 11-11-1111,1439
51, male, GARTNER Helmut, Germany, 05-07-1960,1431
52, male, ABDOLLAHI Vahid, Iran, 21-03-1978,1424.5
53, male, OUDE LUTTIKHUIS Ben, Netherlands, 13-06-1952,1406
54, male, TOLEDO AROCA Antonio, Spain, 08-06-1977,1390.5
55,, PINERD Philippe, France, 29-01-1964,1341
56, male, LIM Shin-Wook, Canada, 11-10-1973,1334
57, male, BENITO DIAZ Jesus, Spain, 23-06-1962,1284
58,, ADAMSONS Peter, United Kingdom of Great Britai, 23-05-1962,1272
59,, KOMRANI NAJAFABADI Mahroo, Iran, 17-04-1980,1245
60,, LEE Hyo-Joo, Korea, 13-03-1962,1229
61, male, JOVIC Dragan, Serbia and Montenegro, 21-05-1969,1226
62, male, LEE Sang-Chul, United States of America, 08-05-1948,1202
63,, DEMESA Rafael, Spain, 11-11-1111,1166
64, male, BLECIC Branimir, Hrvatska, 15-03-1981,1141.8
65,, PINJUH Dragan, Hrvatska, 11-11-1111,1140.8
66,, MOHAMMADIAN Masoumeh, Iran, 11-11-1111,1138.8
67, male, MELIS Luigi, Netherlands, 11-11-1111,1136
68, male, BIBAK ASL Mehdi, Iran, 20-07-1978,1116.5
69,, PISOTSKIY Sergey, Ukraine, 11-11-1111,1108
70,, KIM Woo-Gu, Korea, 11-11-1111,1105
71,, CHONG Chan, Korea, 11-11-1111,1105
72, male, SHARABI Yechiam, Israel, 27-08-1978,1089.5
73, male, DANESH Farjam, Iran, 11-11-1111,1082
74,, JEONG Jin-Tae, Korea, 30-09-1969,1072
75, male, MORA Jose, Dominican Republic, 11-11-1111,1059
76, male, LEE Han-Won, United States of America, 18-05-1962,1044
77,, YOON Jong-Wook, Korea, 11-11-1111,1025
78, male, YAGIZ Kadir, Turkey, 03-11-1972,1021
79,, LIM Han-Soo, , 11-11-1111,1021
80, male, KLAIC Ivica, Hrvatska, 15-04-1964,1007
81, male, EMERIK van Ad, Netherlands, 11-11-1111,1003
82,, LEE Kae-Song, Korea, 11-11-1111,970
83,, GUAN Jianmin, China, 06-05-1963,961
84,, IRAZ Ismet, Turkey, 11-11-1111,939
85,, GREEVINK Rob, Netherlands, 11-11-1111,938
86, male, JUNG Dirk, Germany, 01-05-1956,934
87, male, SALAZAR MOLINA Reynaldo, Mexico, 07-05-1955,932
88,, ATALAR Mustafa, Austria, 11-11-1111,919
89, male, DUJIC Mario, Serbia and Montenegro, 24-09-1975,914
90,, PARK Jae, Canada, 19-04-1969,899.3
91,, ZAGGL Roland, Austria, 03-02-1957,890
92, male, MOURAD Raymond, Canada, 10-11-1964,880
93,, SAFARPOUR DIZBANI Fatemeh, Iran, 21-09-1982,874.8
94, female, CHEN Liren, China, 11-11-1111,872
95,, MADDAH Minoo, Iran, 11-11-1111,870
96, male, VUCENIK Andeljko, Hrvatska, 29-09-1958,861
97, male, ASKARI Fariborz, Iran, 27-05-1972,848.5
98,, DOROSTI Azam, Iran, 11-11-1111,848
99,, NAEIMI Hossein Ali, Iran, 11-11-1111,838
100,, IAKOVAKIS Apostolos, Greece, 11-11-1111,836.8
101,, PARK Dong-Keun, Korea, 11-11-1111,830
102,, PSHENICHNIKOV Pavel, , 11-11-1111,822
103,, LEE Saeng-Kuk, Korea, 11-11-1111,800
104,, SHIN Chung-Eui, Korea, 11-11-1111,800
105, male, YILMAZ Nurettin, Germany, 10-12-1969,790.5
106, male, PEJO Sammy, United States of America, 18-09-1969,784
107, male, LEE Dong-Eon, Korea, 18-10-1986,772.3
108,, GULEC Ozer, Germany, 15-06-1966,766
109, male, VICTORIA ESPINOSA Alfonso, Mexico, 01-02-1985,761.5
