anio, tournament, city, medal, atleta, gender, peso, cat, coach
2012, Olympic Games, London, gold, TAZEGUL Servet, male, -68, senior, SAHIN Ali
2007, World Championships, Peking, gold, TANRIKULU Bahri, male, -84, senior, SAHIN Ali
2015, World Championships, Chelyabinsk, gold, TAZEGUL Servet, male, -68, senior, SAHIN Ali
2011, World Championships, Gyeongju, gold, TAZEGUL Servet, male, -68, senior, SAHIN Ali
2012, Olympic Games, London, silver, TATAR Nur, female, -67, senior, SAHIN Ali
2008, Olympic Games, Beijing, silver, TANRIKULU Azize, female, -57, senior, SAHIN Ali
2015, World Championships, Chelyabinsk, gold, YAMAN Irem, female, -62, senior, SAHIN Ali
2017, World Championships, Muju, gold, TATAR Nur, female, -67, senior, SAHIN Ali
2017, World Championships, Muju, gold, AGRIS Zeliha, female, -53, senior, SAHIN Ali
2009, World Championships, Kopenhagen, gold, TANRIKULU Bahri, male, -87, senior, SAHIN Ali
2015, European Championships, Strasbourg, gold, CAULO Gabriele, male, -49, cadets, LO PINTO Giovanni
2013, European Championships, Porto, gold, BOTTA Roberto, male, -73, youth, LO PINTO Giovanni
2013, European Championships, Porto, gold, FLECCA Antonio, male, -51, youth, LO PINTO Giovanni
2013, European Championships, Porto, gold, RIZZELLI Cristiana, female, -68, youth, LO PINTO Giovanni
2013, European Championships, Porto, gold, MARTIGNANI Licia, female, -55, youth, LO PINTO Giovanni
2016, World Championships, Burnaby, bronze, ZAMPETTI Sofia, female, -42, youth, LO PINTO Giovanni
2018, Grand Prix, Rom, PAR, BOTTA Roberto, male, -80, senior, LO PINTO Giovanni
2018, Grand Prix, Manchester, PAR, Dell Aquila Vito, male, -58, senior, LO PINTO Giovanni
2018, Grand Prix, Rom, PAR, ALESSIO Simone, male, -68, senior, LO PINTO Giovanni
2014, World Championships, Baku, gold, Dell Aquila Vito, male, -49, cadets, LO PINTO Giovanni
2014, World Championships, Baku, gold, Dell Aquila Vito, male, -49, cadets, CORSI Cristina
2014, World Championships, Baku, bronze, LO PINTO Daniel, male, -37, cadets, CORSI Cristina
