puntos,atleta,medalla,coach,points
252.06,"WONGPHATTANAKIT Panipak",oro,"CHOI Young-Seok",3206
260.5,"CEREZO IGLESIAS Adriana",plata,"MARQUEZ SANCHEZ Jose Jesus",6190
260.5,"CEREZO IGLESIAS Adriana",plata,"BENITEZ MORALES Elena",6808.5
252.06,"WONGPHATTANAKIT Panipak",bronce,"CHOI Young-Seok",3206
165.23,"JANG Jun",bronce,NULL,NULL
246.56,"RASHITOV Ulugbek",oro,NULL,NULL
254.9,"SINDEN Bradly",plata,NULL,NULL
186.99,"RECBER Hakan",bronce,NULL,NULL
67.02,"KHRAMTCOV Maksim",oro,"IVANOV Vadim",3248
173.28,"ELSHARABATY Saleh",plata,NULL,NULL
61.48,"KANAET Toni",bronce,NULL,NULL
204.75,"EISSA Seif",bronce,NULL,NULL
58.42,"LARIN Vladislav",oro,"IVANOV Vadim",3248
76.09,"GEORGIEVSKI Dejan",plata,NULL,NULL
38.23,"IN Kyo-Don",bronce,NULL,NULL
65.44,"ALBA CASTILLO Rafael Yunier",bronce,NULL,NULL
116.81,"SEMBERG Avishag",bronce,NULL,NULL
86.98,"BOGDANOVIC Tijana",bronce,NULL,NULL
32.85,"ZHAO Shuai",oro,NULL,NULL
5.85,"HANPRAB Tawin",plata,"CHOI Young-Seok",3206
19.64,"PIE Luisito",bronce,NULL,NULL
21.95,"KIM Tae-Hun",bronce,NULL,NULL
8.99,"ABUGHAUSH Ahmad",oro,NULL,NULL
12.06,"DENISENKO Alexey",plata,"IVANOV Vadim",3248
34.04,"LEE Dae-Hoon",bronce,NULL,NULL
3.08,"GONZALEZ BONILLA Joel",bronce,"CARREIRA CORREDOIRA Marcos",4326
3.08,"GONZALEZ BONILLA Joel",bronce,"MARTIN Francisco",4588
3.08,"GONZALEZ BONILLA Joel",bronce,"MARQUEZ SANCHEZ Jose Jesus",6190
3.08,"GONZALEZ BONILLA Joel",bronce,"BENITEZ MORALES Elena",6808.5
161.44,"CISSE Cheick Sallah",oro,NULL,NULL
5.78,"MASSOP-MUHAMMAD Lutalo",plata,NULL,NULL
38.63,"BEIGI HARCHEGANI Milad",bronce,NULL,NULL
1.63,"OUESLATI Oussama",bronce,NULL,NULL
28.62,"ISAEV Radik",oro,NULL,NULL
62,"ISSOUFOU ALFAGA Abdoulrazak",plata,NULL,NULL
83.52,"ANDRADE SIQUEIRA de Maicon",bronce,NULL,NULL
0.76,"CHA Dong-Min",bronce,NULL,NULL
86.98,"BOGDANOVIC Tijana",plata,NULL,NULL
43.8,"ABAKAROVA Patimat",bronce,NULL,NULL
3.08,"GONZALEZ BONILLA Joel",oro,"CARREIRA CORREDOIRA Marcos",4326
3.08,"GONZALEZ BONILLA Joel",oro,"MARTIN Francisco",4588
3.08,"GONZALEZ BONILLA Joel",oro,"MARQUEZ SANCHEZ Jose Jesus",6190
3.08,"GONZALEZ BONILLA Joel",oro,"BENITEZ MORALES Elena",6808.5
34.04,"LEE Dae-Hoon",plata,NULL,NULL
12.06,"DENISENKO Alexey",bronce,"IVANOV Vadim",3248
0.73,"MUNOZ OVIEDO Oscar Luis",bronce,NULL,NULL
5.78,"MASSOP-MUHAMMAD Lutalo",bronce,NULL,NULL
50.29,"OBAME Anthony Mylann",plata,NULL,NULL
0.91,"DESPAIGNE SAUGUET Rosbelis",bronce,NULL,NULL
1.55,"TAZEGUL Servet",bronce,"SAHIN Ali",13590
1.85,"LOPEZ Steven",bronce,NULL,NULL
0.76,"CHA Dong-Min",oro,NULL,NULL
1.85,"LOPEZ Steven",oro,NULL,NULL
1.85,"LOPEZ Steven",oro,NULL,NULL
83.1,"ZOLOTIC Anastasija",oro,NULL,NULL
92.64,"MININA (KUDASHOVA) Tatiana",plata,"IVANOV Vadim",3248
193.78,"ILGUN Hatice Kubra",bronce,NULL,NULL
171.88,"LO Chia-Ling",bronce,NULL,NULL
125.77,"JELIC Matea",oro,NULL,NULL
106.67,"WILLIAMS Lauren",plata,NULL,NULL
181.14,"GBAGBI Ruth Marie Christelle",bronce,NULL,NULL
33.56,"MALAK WAHBA Hedaya",bronce,NULL,NULL
53.56,"MANDIC Milica",oro,NULL,NULL
143.75,"LEE Da-Bin",plata,NULL,NULL
240.33,"LAURIN Althea",bronce,NULL,NULL
145.91,"COOK (WALKDEN) Bianca",bronce,NULL,NULL
13.46,"KIM So-Hui",oro,NULL,NULL
189.32,"JONES Jade",oro,NULL,NULL
3,"CALVO GOMEZ Eva",plata,"CARREIRA CORREDOIRA Marcos",4326
